,concept,label,standard_concept,2025-03-31,2024-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
63,us-gaap_EquityAbstract,Permanent equity:,,,,4,True,False,False,,,,,,,,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
64,us-gaap_CommonStockValue,Common stock,CommonEquity,110000.0,109000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_EquityAbstract
65,us-gaap_AdditionalPaidInCapital,Additional paid-in capital,AdditionalPaidInCapital,7910058000.0,7838988000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_EquityAbstract
66,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated other comprehensive income (loss),AccumulatedOtherComprehensiveIncome,2828000.0,-8365000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_EquityAbstract
67,us-gaap_RetainedEarningsAccumulatedDeficit,Accumulated deficit,RetainedEarnings,-1234482000.0,-1305598000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_EquityAbstract
68,us-gaap_StockholdersEquity,Total permanent equity,AllEquityBalance,6678514000.0,6525134000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
69,us-gaap_StockholdersEquity,Common Stock,,110000.0,109000.0,6,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_CommonStockMember,Common Stock,us-gaap:StatementEquityComponentsAxis: Common Stock,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
70,us-gaap_StockholdersEquity,Additional Paid-In Capital,,7910058000.0,7838988000.0,6,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AdditionalPaidInCapitalMember,Additional Paid-In Capital,us-gaap:StatementEquityComponentsAxis: Additional Paid-In Capital,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
71,us-gaap_StockholdersEquity,Accumulated Deficit,,-1234482000.0,-1305598000.0,6,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_RetainedEarningsMember,Accumulated Deficit,us-gaap:StatementEquityComponentsAxis: Accumulated Deficit,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
72,us-gaap_StockholdersEquity,Accumulated Other Comprehensive Income (Loss),,2828000.0,-8365000.0,6,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedOtherComprehensiveIncomeMember,Accumulated Other Comprehensive Income (Loss),us-gaap:StatementEquityComponentsAxis: Accumulated Other Comprehensive Income (Loss),credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
73,us-gaap_StockholdersEquity,AFS Debt Securities,,2103000.0,-9359000.0,7,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedNetUnrealizedInvestmentGainLossMember,AFS Debt Securities,us-gaap:StatementEquityComponentsAxis: AFS Debt Securities,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
74,us-gaap_StockholdersEquity,Foreign Currency Translation Adjustments,,725000.0,994000.0,7,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedTranslationAdjustmentMember,Foreign Currency Translation Adjustments,us-gaap:StatementEquityComponentsAxis: Foreign Currency Translation Adjustments,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_EquityAbstract
75,us-gaap_LiabilitiesAndStockholdersEquity,Total liabilities and permanent equity,LiabilitiesAndEquity,37749286000.0,36250951000.0,4,False,False,False,,,,,credit,1.0,1.0,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
