,concept,label,standard_concept,2024-12-31,2023-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
16,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Secured loans,,806441000.0,446463000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_SecuredLoansPortfolioSegmentMember,Secured loans,us-gaap:FinancingReceivablePortfolioSegmentAxis: Secured loans,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
17,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Credit card - Credit card,,289159000.0,272628000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CreditCardLoanPortfolioSegmentMember,Credit card,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Credit card, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Credit card",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
18,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Commercial and consumer banking - Commercial real estate,,136474000.0,106326000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CommercialAndConsumerBankingPortfolioSegmentMember,Commercial and consumer banking,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Commercial and consumer banking, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Commercial real estate",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
19,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Commercial and consumer banking - Commercial and industrial,,4986000.0,6075000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CommercialAndConsumerBankingPortfolioSegmentMember,Commercial and consumer banking,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Commercial and consumer banking, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Commercial and industrial",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
20,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Commercial and consumer banking - Residential real estate and other consumer,,9398000.0,4667000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CommercialAndConsumerBankingPortfolioSegmentMember,Commercial and consumer banking,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Commercial and consumer banking, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Residential real estate and other consumer",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
21,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Commercial and consumer banking,,150858000.0,117068000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CommercialAndConsumerBankingPortfolioSegmentMember,Commercial and consumer banking,us-gaap:FinancingReceivablePortfolioSegmentAxis: Commercial and consumer banking,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
22,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,"Variable Interest Entity, Not Primary Beneficiary - Secured loans",,806441000.0,446463000.0,5,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityNotPrimaryBeneficiaryMember,"Variable Interest Entity, Not Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Not Primary Beneficiary, us-gaap:FinancingReceivablePortfolioSegmentAxis: Secured loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
23,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Funded Loan,,6000000.0,,5,False,True,True,us-gaap:OtherCommitmentsAxis,sofi_FundedLoanMember,Funded Loan,us-gaap:OtherCommitmentsAxis: Funded Loan,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
24,us-gaap_ServicingAssetAtFairValueAmount,Servicing rights,,342128000.0,180469000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
25,us-gaap_ServicingAssetAtFairValueAmount,"Variable Interest Entity, Not Primary Beneficiary",,100839000.0,28197000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityNotPrimaryBeneficiaryMember,"Variable Interest Entity, Not Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Not Primary Beneficiary",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
